,0
Pilha_1,<gurobi.Var C40 (value -0.0)>
Pilha_2,<gurobi.Var C41 (value -0.0)>
Pilha_3,<gurobi.Var C42 (value 170.0)>
Pilha_4,<gurobi.Var C43 (value 66.0)>
Pilha_5,<gurobi.Var C44 (value 55.0)>
Pilha_6,<gurobi.Var C45 (value -0.0)>
Pilha_7,<gurobi.Var C46 (value -0.0)>
Pilha_8,<gurobi.Var C47 (value -0.0)>
Pilha_9,<gurobi.Var C48 (value -0.0)>
Pilha_10,<gurobi.Var C49 (value 85.0)>
Pilha_11,<gurobi.Var C50 (value -0.0)>
Pilha_12,<gurobi.Var C51 (value -0.0)>
Pilha_13,<gurobi.Var C52 (value 99.0)>
Pilha_14,<gurobi.Var C53 (value -0.0)>
Pilha_15,<gurobi.Var C54 (value 125.0)>
